RECTYPE,YEAR,CASEID,REGION,STATEFIP,MSASIZE,FAMINCOME,HH_SIZE,POVERTY130,POVERTY185,HH_CHILD,AGEYCHILD,HH_NUMADULTS,PERNUM,LINENO,WT06,AGE,SEX,RACE,MARST,GENHEALTH,BMI,EDUC,EDUCYRS,VETSTAT,MULTJOBS,OCC2,FULLPART,UHRSWORKT,SPEMPNOT,PED,WBLADDER,ACT_FOOD,ACT_PCARE,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_TRAVEL,ACT_WORK
1,2012,2.01201E+13,3,12,4,11,4,,,1,13,2,1,1,5241490.98,38,2,100,1,2,,21,112,2,99,9999,99,9999,0,,4,60,750,0,528,0,2,0
1,2012,2.01201E+13,3,51,2,1,7,,,1,2,3,1,1,8379003.223,17,2,110,6,3,,15,110,2,99,9999,99,9999,99,,5,60,675,0,120,0,350,0
1,2012,2.01201E+13,3,13,0,1,2,,,1,9,1,1,1,2383445.673,20,2,110,6,2,,30,215,2,0,132,1,9995,99,,10,55,395,0,13,0,4,518
1,2012,2.01201E+13,3,12,3,8,2,,,0,999,2,1,1,9128554.814,58,1,100,1,3,,14,109,1,0,170,1,40,0,,8,160,620,0,588,0,46,10
1,2012,2.01201E+13,3,45,4,6,1,,,0,999,1,1,1,5360439.273,65,2,110,3,3,,14,109,2,0,130,2,16,99,,8,40,195,240,415,60,120,0
1,2012,2.01201E+13,3,48,5,4,2,,,0,999,2,1,1,5045451.848,19,1,100,6,3,,12,105,2,0,132,2,32,99,,3,10,810,0,120,60,65,340
1,2012,2.01201E+13,3,28,0,3,1,,,0,999,1,1,1,5461398.645,46,1,110,5,3,,32,214,2,99,9999,99,9999,99,,7,0,540,0,835,0,0,0
1,2012,2.01201E+13,1,42,7,13,2,,,0,999,2,1,1,6194342.249,24,2,100,6,1,,40,216,2,0,111,1,70,0,,6,40,735,0,283,0,105,0
1,2012,2.01201E+13,2,18,0,1,1,,,0,999,1,1,1,12202986.95,34,1,110,4,2,,21,112,2,99,9999,99,9999,99,,3,30,765,0,452,0,119,3
1,2012,2.01201E+13,4,6,6,14,4,,,1,1,2,1,1,8461285.769,40,1,100,1,2,,40,318,2,99,9999,99,9999,1,,8,50,495,0,165,0,65,0
1,2012,2.01201E+13,3,51,5,12,2,,,1,17,1,1,1,11683496.9,53,1,100,4,2,,20,109,2,0,111,1,40,99,,6,50,465,0,221,0,82,475
1,2012,2.01201E+13,1,42,0,3,1,,,0,999,1,1,1,12520641.72,54,1,100,4,5,,21,112,2,99,9999,99,9999,99,,1,122,460,0,722,0,16,0
1,2012,2.01201E+13,2,19,0,1,1,,,0,999,1,1,1,6729725.848,24,1,110,6,2,,30,215,2,0,200,2,20,99,,6,5,630,0,283,60,24,353
1,2012,2.01201E+13,1,36,7,14,3,,,1,1,2,1,1,4904267.381,32,1,131,1,4,,21,112,2,0,131,1,40,1,,7,150,400,0,15,0,175,250
1,2012,2.01201E+13,2,17,7,3,3,,,1,15,2,1,1,37330055.55,32,2,100,1,3,,30,213,2,0,110,1,40,0,,4,80,410,0,105,0,111,535
1,2012,2.01201E+13,1,9,0,4,3,,,1,2,1,1,1,5708550.546,29,2,100,5,4,,13,107,2,0,126,2,22,99,,6,40,495,0,75,0,50,300
1,2012,2.01201E+13,1,34,7,16,4,,,1,7,2,1,1,7427467.686,39,1,131,1,1,,41,319,2,0,120,1,60,0,,8,60,375,0,120,0,40,570
1,2012,2.01201E+13,1,50,0,13,3,,,0,999,3,1,1,17179972.71,78,2,100,1,3,,30,215,2,0,160,2,20,0,,8,100,510,0,235,0,0,0
1,2012,2.01201E+13,2,31,0,9,1,,,0,999,1,1,1,2749522.353,47,1,100,4,2,,21,112,2,0,170,1,40,99,,7,50,645,0,610,0,0,0
